"table","title","period","category","urls","tlinks","api","spares","tunit","closed","komm","fylke","gkrets","bydel","tett","month","kvart"
"07534"," StatRes. NAV. Aktiviteter og tjenester. Personer med stønad fra folketrygden, etter stønadstype (avslutta serie) ","2006 - 2008","Arbeids- og velferdsetaten (NAV) - StatRes (opphørt)","https://www.ssb.no/statbank/list/nav_statres","https://www.ssb.no/statbank/table/07534","https://data.ssb.no/api/v0/no/table/07534","Land","År",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"07527"," StatRes. NAV. Ressursinnsats (avslutta serie) ","2006 - 2013","Arbeids- og velferdsetaten (NAV) - StatRes (opphørt)","https://www.ssb.no/statbank/list/nav_statres","https://www.ssb.no/statbank/table/07527","https://data.ssb.no/api/v0/no/table/07527","Land","År",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"08334"," StatRes. NAV. Relaterte indikatorer. Personer i alderen 15-74 år, etter arbeidsstyrkestatus (årsgjennomsnitt) (avslutta serie) ","2006 - 2013","Arbeids- og velferdsetaten (NAV) - StatRes (opphørt)","https://www.ssb.no/statbank/list/nav_statres","https://www.ssb.no/statbank/table/08334","https://data.ssb.no/api/v0/no/table/08334","Land","År",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"09039"," StatRes. NAV. Registrerte arbeidsledige (F) (avslutta serie) ","2006 - 2013","Arbeids- og velferdsetaten (NAV) - StatRes (opphørt)","https://www.ssb.no/statbank/list/nav_statres","https://www.ssb.no/statbank/table/09039","https://data.ssb.no/api/v0/no/table/09039","Fylke","År",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"09051"," StatRes. NAV. Personer på arbeidsrettede tiltak (F) (avslutta serie) ","2006 - 2013","Arbeids- og velferdsetaten (NAV) - StatRes (opphørt)","https://www.ssb.no/statbank/list/nav_statres","https://www.ssb.no/statbank/table/09051","https://data.ssb.no/api/v0/no/table/09051","Fylke","År",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"09052"," StatRes. NAV. Personer som mottar dagpenger (F) (avslutta serie) ","2006 - 2013","Arbeids- og velferdsetaten (NAV) - StatRes (opphørt)","https://www.ssb.no/statbank/list/nav_statres","https://www.ssb.no/statbank/table/09052","https://data.ssb.no/api/v0/no/table/09052","Fylke","År",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"08367"," StatRes. Overføringer, etter ulike stønader og trygder (mill. kr) (avslutta serie) ","2006 - 2013","Arbeids- og velferdsetaten (NAV) - StatRes (opphørt)","https://www.ssb.no/statbank/list/nav_statres","https://www.ssb.no/statbank/table/08367","https://data.ssb.no/api/v0/no/table/08367","Land","År",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"09054"," StatRes. NAV. Personer med nedsatt arbeidsevne i arbeidsrettede tiltak (F) (avslutta serie) ","2006 - 2013","Arbeids- og velferdsetaten (NAV) - StatRes (opphørt)","https://www.ssb.no/statbank/list/nav_statres","https://www.ssb.no/statbank/table/09054","https://data.ssb.no/api/v0/no/table/09054","Fylke","År",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"09055"," StatRes. NAV. Personer som mottar arbeidsavklaringspenger (AAP) (F) (avslutta serie) ","2010 - 2013","Arbeids- og velferdsetaten (NAV) - StatRes (opphørt)","https://www.ssb.no/statbank/list/nav_statres","https://www.ssb.no/statbank/table/09055","https://data.ssb.no/api/v0/no/table/09055","Fylke","År",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"09056"," StatRes. NAV. Personer som mottar uførepensjon (F) (avslutta serie) ","2006 - 2013","Arbeids- og velferdsetaten (NAV) - StatRes (opphørt)","https://www.ssb.no/statbank/list/nav_statres","https://www.ssb.no/statbank/table/09056","https://data.ssb.no/api/v0/no/table/09056","Fylke","År",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
